date,hour,sales,profit,region,state,category,type,caffeination
1/8/2011,6,386,173,Central,IL,Coffee,Columbian,Regular
1/12/2011,7,262,136,Central,IL,Coffee,Decaf Irish Cream,Decaf
1/5/2011,8,611,315,Central,IA,Herbal Tea,Chamomile,Decaf
1/31/2011,9,262,134,Central,IA,Herbal Tea,Lemon,Decaf
1/16/2011,10,510,220,Central,IA,Tea,Darjeeling,Regular
1/13/2011,11,611,273,Central,IA,Tea,Earl Grey,Regular
1/8/2011,12,48,17,Central,IA,Espresso,Caffe Mocha,Regular
1/12/2011,13,48,16,Central,IA,Espresso,Decaf Espresso,Decaf
1/13/2011,14,50,17,Central,IA,Coffee,Amaretto,Regular
1/29/2011,15,69,8,Central,IA,Coffee,Columbian,Regular
1/16/2011,16,60,19,Central,IA,Coffee,Decaf Irish Cream,Decaf
1/19/2011,17,101,17,Central,MO,Herbal Tea,Chamomile,Decaf
1/1/2011,18,111,61,Central,MO,Herbal Tea,Lemon,Decaf
1/19/2011,19,92,14,Central,MO,Tea,Darjeeling,Regular
1/25/2011,20,73,14,Central,MO,Tea,Earl Grey,Regular
1/21/2011,21,85,6,Central,MO,Tea,Green Tea,Regular
1/17/2011,22,138,75,Central,MO,Espresso,Caffe Mocha,Regular
1/26/2011,23,128,70,Central,MO,Espresso,Decaf Espresso,Decaf
1/30/2011,0,213,61,Central,MO,Coffee,Columbian,Regular
1/10/2011,1,190,73,Central,MO,Coffee,Decaf Irish Cream,Decaf
1/25/2011,2,90,45,Central,OH,Herbal Tea,Chamomile,Decaf
1/9/2011,3,90,45,Central,OH,Herbal Tea,Lemon,Decaf
1/1/2011,4,235,106,Central,OH,Tea,Darjeeling,Regular
1/3/2011,5,224,104,Central,OH,Tea,Earl Grey,Regular
1/11/2011,6,382,154,Central,OH,Espresso,Caffe Mocha,Regular
1/10/2011,7,145,25,Central,OH,Espresso,Decaf Espresso,Decaf
1/1/2011,8,157,53,Central,OH,Coffee,Amaretto,Regular
1/6/2011,9,157,65,Central,OH,Coffee,Columbian,Regular
1/14/2011,10,168,0,Central,OH,Coffee,Decaf Irish Cream,Decaf
1/24/2011,11,201,109,Central,WI,Herbal Tea,Chamomile,Decaf
1/22/2011,12,91,44,Central,WI,Herbal Tea,Lemon,Decaf
1/23/2011,13,168,73,Central,WI,Tea,Darjeeling,Regular
1/15/2011,14,201,11,Central,WI,Tea,Earl Grey,Regular
1/29/2011,15,168,59,Central,WI,Espresso,Caffe Mocha,Regular
1/31/2011,16,123,53,Central,WI,Espresso,Decaf Espresso,Decaf
1/29/2011,17,134,20,Central,WI,Coffee,Amaretto,Regular
1/15/2011,18,213,14,Central,WI,Coffee,Columbian,Regular
1/29/2011,19,201,79,Central,WI,Coffee,Decaf Irish Cream,Decaf
1/12/2011,20,213,62,East,CT,Herbal Tea,Lemon,Decaf
1/19/2011,21,190,73,East,CT,Herbal Tea,Mint,Decaf
1/18/2011,22,138,73,East,CT,Tea,Darjeeling,Regular
1/27/2011,23,105,55,East,CT,Tea,Green Tea,Regular
1/9/2011,0,201,11,East,CT,Espresso,Caffe Mocha,Regular
1/21/2011,1,145,47,East,CT,Espresso,Decaf Espresso,Decaf
1/19/2011,2,347,179,East,CT,Coffee,Columbian,Regular
1/21/2011,3,123,53,East,FL,Herbal Tea,Chamomile,Decaf
1/10/2011,4,134,20,East,FL,Herbal Tea,Lemon,Decaf
1/11/2011,5,168,61,East,FL,Herbal Tea,Mint,Decaf
1/6/2011,6,90,44,East,FL,Tea,Darjeeling,Regular
1/4/2011,7,91,44,East,FL,Tea,Green Tea,Regular
1/9/2011,8,213,14,East,FL,Espresso,Caffe Mocha,Regular
1/11/2011,9,201,78,East,FL,Espresso,Decaf Espresso,Decaf
1/17/2011,10,235,106,East,FL,Coffee,Columbian,Regular
1/31/2011,11,224,104,East,FL,Coffee,Decaf Irish Cream,Decaf
1/1/2011,12,145,26,East,MA,Herbal Tea,Lemon,Decaf
1/22/2011,13,90,45,East,MA,Tea,Darjeeling,Regular
1/29/2011,14,90,45,East,MA,Tea,Green Tea,Regular
1/27/2011,15,141,36,East,MA,Espresso,Caffe Mocha,Regular
1/4/2011,16,382,156,East,MA,Espresso,Regular Espresso,Regular
1/30/2011,17,553,572,East,MA,Coffee,Columbian,Regular
1/14/2011,18,85,6,East,NH,Herbal Tea,Lemon,Decaf
1/28/2011,19,50,16,East,NH,Tea,Darjeeling,Regular
1/27/2011,20,48,17,East,NH,Tea,Green Tea,Regular
1/12/2011,21,101,16,East,NH,Espresso,Caffe Mocha,Regular
1/20/2011,22,73,12,East,NH,Espresso,Regular Espresso,Regular
1/27/2011,23,104,31,East,NH,Coffee,Amaretto,Regular
1/1/2011,0,134,39,East,NH,Coffee,Columbian,Regular
1/3/2011,1,540,173,East,NY,Herbal Tea,Lemon,Decaf
1/12/2011,2,201,176,East,NY,Herbal Tea,Mint,Decaf
1/5/2011,3,262,157,East,NY,Tea,Darjeeling,Regular
1/2/2011,4,245,146,East,NY,Tea,Earl Grey,Regular
1/25/2011,5,150,84,East,NY,Tea,Green Tea,Regular
1/11/2011,6,68,268,East,NY,Espresso,Caffe Mocha,Regular
1/26/2011,7,548,273,East,NY,Espresso,Regular Espresso,Regular
1/6/2011,8,759,408,East,NY,Coffee,Columbian,Regular
1/21/2011,9,125,55,South,LA,Herbal Tea,Chamomile,Decaf
1/28/2011,10,213,62,South,LA,Herbal Tea,Lemon,Decaf
1/24/2011,11,95,47,South,LA,Coffee,Columbian,Regular
1/8/2011,12,91,44,South,LA,Coffee,Decaf Irish Cream,Decaf
1/12/2011,13,201,12,South,LA,Espresso,Caffe Latte,Regular
1/12/2011,14,201,109,South,LA,Espresso,Caffe Mocha,Regular
1/9/2011,15,168,75,South,LA,Espresso,Decaf Espresso,Decaf
1/11/2011,16,50,17,South,NM,Herbal Tea,Chamomile,Decaf
1/3/2011,17,69,6,South,NM,Herbal Tea,Lemon,Decaf
1/14/2011,18,134,41,South,NM,Coffee,Columbian,Regular
1/15/2011,19,111,61,South,NM,Coffee,Decaf Irish Cream,Decaf
1/1/2011,20,73,12,South,NM,Espresso,Caffe Latte,Regular
1/20/2011,21,101,16,South,NM,Espresso,Caffe Mocha,Regular
1/2/2011,22,92,14,South,NM,Espresso,Decaf Espresso,Decaf
1/6/2011,23,134,20,South,OK,Herbal Tea,Chamomile,Decaf
1/22/2011,0,213,16,South,OK,Herbal Tea,Lemon,Decaf
1/18/2011,1,112,45,South,OK,Coffee,Columbian,Regular
1/1/2011,2,90,44,South,OK,Coffee,Decaf Irish Cream,Decaf
1/9/2011,3,224,103,South,OK,Espresso,Caffe Latte,Regular
1/12/2011,4,90,44,South,OK,Espresso,Caffe Mocha,Regular
1/5/2011,5,235,104,South,OK,Espresso,Decaf Espresso,Decaf
1/3/2011,6,157,51,South,TX,Herbal Tea,Chamomile,Decaf
1/15/2011,7,157,65,South,TX,Herbal Tea,Lemon,Decaf
1/12/2011,8,506,248,South,TX,Coffee,Columbian,Regular
1/26/2011,9,213,106,South,TX,Coffee,Decaf Irish Cream,Decaf
1/17/2011,10,201,83,South,TX,Espresso,Caffe Latte,Regular
1/26/2011,11,245,148,South,TX,Espresso,Caffe Mocha,Regular
1/15/2011,12,150,84,South,TX,Espresso,Decaf Espresso,Decaf
1/1/2011,13,104,33,West,UT,Herbal Tea,Chamomile,Decaf
1/1/2011,14,134,39,West,UT,Herbal Tea,Lemon,Decaf
1/6/2011,15,111,62,West,UT,Herbal Tea,Mint,Decaf
1/12/2011,16,101,16,West,UT,Tea,Darjeeling,Regular
1/23/2011,17,92,14,West,UT,Tea,Earl Grey,Regular
1/5/2011,18,73,14,West,UT,Tea,Green Tea,Regular
1/9/2011,19,138,73,West,UT,Espresso,Decaf Espresso,Decaf
1/20/2011,20,190,73,West,UT,Coffee,Amaretto,Regular
1/9/2011,21,145,47,West,UT,Coffee,Columbian,Regular
1/10/2011,22,213,61,West,UT,Coffee,Decaf Irish Cream,Decaf
1/5/2011,23,128,69,West,UT,Espresso,Caffe Latte,Regular
1/13/2011,0,125,53,West,UT,Espresso,Caffe Mocha,Regular
1/28/2011,1,262,159,West,CA,Herbal Tea,Chamomile,Decaf
1/28/2011,2,506,249,West,CA,Herbal Tea,Lemon,Decaf
1/13/2011,3,213,104,West,CA,Herbal Tea,Mint,Decaf
1/21/2011,4,245,146,West,CA,Tea,Darjeeling,Regular
1/8/2011,5,150,84,West,CA,Tea,Earl Grey,Regular
1/30/2011,6,201,84,West,CA,Tea,Green Tea,Regular
1/20/2011,7,611,316,West,CA,Espresso,Decaf Espresso,Decaf
1/7/2011,8,162,3,West,CA,Coffee,Amaretto,Regular
1/4/2011,9,759,408,West,CA,Coffee,Columbian,Regular
1/18/2011,10,132,182,West,CA,Coffee,Decaf Irish Cream,Decaf
1/9/2011,11,510,218,West,CA,Espresso,Caffe Latte,Regular
1/3/2011,12,280,26,West,CA,Espresso,Caffe Mocha,Regular
1/5/2011,13,280,25,West,NV,Herbal Tea,Chamomile,Decaf
1/2/2011,14,386,173,West,NV,Herbal Tea,Lemon,Decaf
1/22/2011,15,262,134,West,NV,Herbal Tea,Mint,Decaf
1/25/2011,16,611,316,West,NV,Tea,Darjeeling,Regular
1/26/2011,17,510,220,West,NV,Tea,Earl Grey,Regular
1/9/2011,18,19,552,West,NV,Tea,Green Tea,Regular
1/28/2011,19,48,17,West,NV,Espresso,Decaf Espresso,Decaf
1/19/2011,20,85,5,West,NV,Coffee,Columbian,Regular
1/1/2011,21,69,6,West,NV,Coffee,Decaf Irish Cream,Decaf
1/11/2011,22,48,17,West,NV,Espresso,Caffe Latte,Regular
1/17/2011,23,50,16,West,NV,Espresso,Caffe Mocha,Regular
1/20/2011,0,101,51,West,OR,Herbal Tea,Chamomile,Decaf
1/14/2011,1,112,45,West,OR,Herbal Tea,Lemon,Decaf
1/26/2011,2,90,44,West,OR,Tea,Darjeeling,Regular
1/5/2011,3,235,106,West,OR,Tea,Earl Grey,Regular
1/31/2011,4,224,104,West,OR,Tea,Green Tea,Regular
1/26/2011,5,382,154,West,OR,Espresso,Decaf Espresso,Decaf
1/11/2011,6,168,2,West,OR,Coffee,Amaretto,Regular
1/20/2011,7,179,44,West,OR,Coffee,Columbian,Regular
1/10/2011,8,157,65,West,OR,Coffee,Decaf Irish Cream,Decaf
1/3/2011,9,145,25,West,OR,Espresso,Caffe Latte,Regular
1/17/2011,10,157,51,West,OR,Espresso,Caffe Mocha,Regular
1/26/2011,11,347,179,West,WA,Herbal Tea,Chamomile,Decaf
1/24/2011,12,95,47,West,WA,Herbal Tea,Lemon,Decaf
1/30/2011,13,201,109,West,WA,Tea,Darjeeling,Regular
1/11/2011,14,168,75,West,WA,Tea,Earl Grey,Regular
1/13/2011,15,201,12,West,WA,Tea,Green Tea,Regular
1/5/2011,16,123,55,West,WA,Espresso,Caffe Latte,Regular
1/11/2011,17,134,20,West,WA,Espresso,Caffe Mocha,Regular
1/18/2011,18,168,61,West,WA,Espresso,Decaf Espresso,Decaf
1/18/2011,19,145,59,West,WA,Coffee,Columbian,Regular
1/5/2011,20,213,14,West,WA,Coffee,Decaf Irish Cream,Decaf
2/4/2011,21,362,147,Central,CO,Herbal Tea,Chamomile,Decaf
2/12/2011,22,137,4,Central,CO,Herbal Tea,Lemon,Decaf
2/25/2011,23,149,49,Central,CO,Herbal Tea,Mint,Decaf
2/6/2011,0,141,27,Central,CO,Tea,Darjeeling,Regular
2/15/2011,1,145,50,Central,CO,Tea,Earl Grey,Regular
2/4/2011,2,107,45,Central,CO,Tea,Green Tea,Regular
2/26/2011,3,201,119,Central,CO,Espresso,Caffe Mocha,Regular
2/23/2011,4,201,88,Central,CO,Espresso,Decaf Espresso,Decaf
2/17/2011,5,259,156,Central,CO,Coffee,Amaretto,Regular
2/12/2011,6,202,101,Central,CO,Coffee,Columbian,Regular
2/15/2011,7,247,147,Central,CO,Coffee,Decaf Irish Cream,Decaf
2/26/2011,8,259,156,Central,IL,Herbal Tea,Chamomile,Decaf
2/27/2011,9,202,101,Central,IL,Herbal Tea,Lemon,Decaf
2/15/2011,10,247,147,Central,IL,Herbal Tea,Mint,Decaf
2/16/2011,11,201,117,Central,IL,Tea,Darjeeling,Regular
2/27/2011,12,201,88,Central,IL,Tea,Earl Grey,Regular
2/17/2011,13,581,298,Central,IL,Espresso,Caffe Mocha,Regular
2/23/2011,14,487,211,Central,IL,Espresso,Decaf Espresso,Decaf
2/20/2011,15,377,171,Central,IL,Coffee,Columbian,Regular
2/14/2011,16,271,141,Central,IL,Coffee,Decaf Irish Cream,Decaf
2/7/2011,17,581,298,Central,IA,Herbal Tea,Chamomile,Decaf
2/18/2011,18,271,141,Central,IA,Herbal Tea,Lemon,Decaf
2/6/2011,19,487,209,Central,IA,Tea,Darjeeling,Regular
2/6/2011,20,569,251,Central,IA,Tea,Earl Grey,Regular
2/25/2011,21,50,16,Central,IA,Espresso,Caffe Mocha,Regular
2/4/2011,22,46,47,Central,IA,Espresso,Decaf Espresso,Decaf
2/19/2011,23,48,15,Central,IA,Coffee,Amaretto,Regular
2/13/2011,0,67,9,Central,IA,Coffee,Columbian,Regular
2/18/2011,1,58,18,Central,IA,Coffee,Decaf Irish Cream,Decaf
2/22/2011,2,111,12,Central,MO,Herbal Tea,Chamomile,Decaf
2/9/2011,3,109,47,Central,MO,Herbal Tea,Lemon,Decaf
2/2/2011,4,87,13,Central,MO,Tea,Darjeeling,Regular
2/25/2011,5,72,10,Central,MO,Tea,Earl Grey,Regular
2/11/2011,6,79,6,Central,MO,Tea,Green Tea,Regular
2/20/2011,7,131,71,Central,MO,Espresso,Caffe Mocha,Regular
2/26/2011,8,110,56,Central,MO,Espresso,Decaf Espresso,Decaf
2/8/2011,9,206,62,Central,MO,Coffee,Columbian,Regular
2/29/2011,10,176,68,Central,MO,Coffee,Decaf Irish Cream,Decaf
2/25/2011,11,60,25,Central,OH,Herbal Tea,Chamomile,Decaf
2/23/2011,12,85,42,Central,OH,Herbal Tea,Lemon,Decaf
2/20/2011,13,213,92,Central,OH,Tea,Darjeeling,Regular
2/16/2011,14,220,105,Central,OH,Tea,Earl Grey,Regular
2/12/2011,15,362,145,Central,OH,Espresso,Caffe Mocha,Regular
2/24/2011,16,141,27,Central,OH,Espresso,Decaf Espresso,Decaf
2/18/2011,17,149,49,Central,OH,Coffee,Amaretto,Regular
2/23/2011,18,136,56,Central,OH,Coffee,Columbian,Regular
2/29/2011,19,137,4,Central,OH,Coffee,Decaf Irish Cream,Decaf
2/23/2011,20,185,98,Central,WI,Herbal Tea,Chamomile,Decaf
2/25/2011,21,123,64,Central,WI,Herbal Tea,Lemon,Decaf
2/15/2011,22,146,61,Central,WI,Tea,Darjeeling,Regular
2/26/2011,23,165,4,Central,WI,Tea,Earl Grey,Regular
2/10/2011,0,164,62,Central,WI,Espresso,Caffe Mocha,Regular
2/6/2011,1,117,52,Central,WI,Espresso,Decaf Espresso,Decaf
2/15/2011,2,126,18,Central,WI,Coffee,Amaretto,Regular
2/1/2011,3,234,22,Central,WI,Coffee,Columbian,Regular
2/24/2011,4,192,74,Central,WI,Coffee,Decaf Irish Cream,Decaf
2/8/2011,5,206,61,East,CT,Herbal Tea,Lemon,Decaf
2/20/2011,6,176,68,East,CT,Herbal Tea,Mint,Decaf
2/24/2011,7,131,71,East,CT,Tea,Darjeeling,Regular
2/20/2011,8,70,31,East,CT,Tea,Green Tea,Regular
2/19/2011,9,165,4,East,CT,Espresso,Caffe Mocha,Regular
2/7/2011,10,139,43,East,CT,Espresso,Decaf Espresso,Decaf
2/14/2011,11,346,180,East,CT,Coffee,Columbian,Regular
2/28/2011,12,117,50,East,FL,Herbal Tea,Chamomile,Decaf
2/7/2011,13,126,18,East,FL,Herbal Tea,Lemon,Decaf
2/7/2011,14,164,62,East,FL,Herbal Tea,Mint,Decaf
2/8/2011,15,85,42,East,FL,Tea,Darjeeling,Regular
2/23/2011,16,123,65,East,FL,Tea,Green Tea,Regular
2/10/2011,17,234,24,East,FL,Espresso,Caffe Mocha,Regular
2/18/2011,18,192,76,East,FL,Espresso,Decaf Espresso,Decaf
2/6/2011,19,213,93,East,FL,Coffee,Columbian,Regular
2/3/2011,0,220,105,East,FL,Coffee,Decaf Irish Cream,Decaf
2/9/2011,1,141,27,East,MA,Herbal Tea,Lemon,Decaf
2/7/2011,2,85,42,East,MA,Tea,Darjeeling,Regular
2/27/2011,3,60,25,East,MA,Tea,Green Tea,Regular
2/28/2011,4,136,6,East,MA,Espresso,Caffe Mocha,Regular
2/1/2011,5,362,147,East,MA,Espresso,Regular Espresso,Regular
2/18/2011,6,501,505,East,MA,Coffee,Columbian,Regular
2/2/2011,7,79,6,East,NH,Herbal Tea,Lemon,Decaf
2/13/2011,8,48,16,East,NH,Tea,Darjeeling,Regular
2/16/2011,9,46,47,East,NH,Tea,Green Tea,Regular
2/25/2011,10,111,10,East,NH,Espresso,Caffe Mocha,Regular
2/19/2011,11,72,9,East,NH,Espresso,Regular Espresso,Regular
2/8/2011,12,108,37,East,NH,Coffee,Amaretto,Regular
2/27/2011,13,121,34,East,NH,Coffee,Columbian,Regular
2/23/2011,14,528,194,East,NY,Herbal Tea,Lemon,Decaf
2/17/2011,15,192,178,East,NY,Herbal Tea,Mint,Decaf
2/27/2011,16,247,148,East,NY,Tea,Darjeeling,Regular
2/11/2011,17,259,156,East,NY,Tea,Earl Grey,Regular
2/10/2011,18,201,117,East,NY,Tea,Green Tea,Regular
2/18/2011,19,65,301,East,NY,Espresso,Caffe Mocha,Regular
2/3/2011,0,618,392,East,NY,Espresso,Regular Espresso,Regular
2/11/2011,1,687,364,East,NY,Coffee,Columbian,Regular
2/6/2011,2,119,52,South,LA,Herbal Tea,Chamomile,Decaf
2/24/2011,3,206,62,South,LA,Herbal Tea,Lemon,Decaf
2/21/2011,4,100,50,South,LA,Coffee,Columbian,Regular
2/20/2011,5,123,65,South,LA,Coffee,Decaf Irish Cream,Decaf
2/27/2011,6,165,3,South,LA,Espresso,Caffe Latte,Regular
2/24/2011,7,185,96,South,LA,Espresso,Caffe Mocha,Regular
2/16/2011,8,146,61,South,LA,Espresso,Decaf Espresso,Decaf
2/1/2011,9,48,15,South,NM,Herbal Tea,Chamomile,Decaf
2/3/2011,10,67,7,South,NM,Herbal Tea,Lemon,Decaf
2/15/2011,11,121,36,South,NM,Coffee,Columbian,Regular
2/28/2011,12,109,46,South,NM,Coffee,Decaf Irish Cream,Decaf
2/25/2011,13,72,10,South,NM,Espresso,Caffe Latte,Regular
2/28/2011,14,111,10,South,NM,Espresso,Caffe Mocha,Regular
2/29/2011,15,87,12,South,NM,Espresso,Decaf Espresso,Decaf
2/11/2011,16,126,16,South,OK,Herbal Tea,Chamomile,Decaf
2/10/2011,17,234,22,South,OK,Herbal Tea,Lemon,Decaf
2/23/2011,18,107,43,South,OK,Coffee,Columbian,Regular
2/7/2011,19,85,43,South,OK,Coffee,Decaf Irish Cream,Decaf
2/28/2011,20,220,104,South,OK,Espresso,Caffe Latte,Regular
2/27/2011,21,60,25,South,OK,Espresso,Caffe Mocha,Regular
2/11/2011,22,213,93,South,OK,Espresso,Decaf Espresso,Decaf
2/11/2011,23,149,49,South,TX,Herbal Tea,Chamomile,Decaf
2/21/2011,16,136,56,South,TX,Herbal Tea,Lemon,Decaf
2/21/2011,17,496,243,South,TX,Coffee,Columbian,Regular
2/24/2011,18,202,101,South,TX,Coffee,Decaf Irish Cream,Decaf
2/18/2011,19,201,86,South,TX,Espresso,Caffe Latte,Regular
2/3/2011,20,259,157,South,TX,Espresso,Caffe Mocha,Regular
2/17/2011,21,201,119,South,TX,Espresso,Decaf Espresso,Decaf
2/2/2011,22,108,36,West,UT,Herbal Tea,Chamomile,Decaf
2/22/2011,23,121,36,West,UT,Herbal Tea,Lemon,Decaf
2/20/2011,0,109,46,West,UT,Herbal Tea,Mint,Decaf
2/18/2011,1,111,10,West,UT,Tea,Darjeeling,Regular
2/7/2011,2,87,13,West,UT,Tea,Earl Grey,Regular
2/21/2011,3,72,9,West,UT,Tea,Green Tea,Regular
2/22/2011,4,131,71,West,UT,Espresso,Decaf Espresso,Decaf
2/10/2011,5,176,68,West,UT,Coffee,Amaretto,Regular
2/1/2011,6,139,45,West,UT,Coffee,Columbian,Regular
2/25/2011,7,206,61,West,UT,Coffee,Decaf Irish Cream,Decaf
2/23/2011,0,110,56,West,UT,Espresso,Caffe Latte,Regular
2/15/2011,1,119,52,West,UT,Espresso,Caffe Mocha,Regular
2/21/2011,2,247,148,West,CA,Herbal Tea,Chamomile,Decaf
2/23/2011,3,496,243,West,CA,Herbal Tea,Lemon,Decaf
2/10/2011,4,202,101,West,CA,Herbal Tea,Mint,Decaf
2/27/2011,5,259,157,West,CA,Tea,Darjeeling,Regular
2/17/2011,6,201,119,West,CA,Tea,Earl Grey,Regular
2/9/2011,7,201,86,West,CA,Tea,Green Tea,Regular
2/8/2011,8,581,300,West,CA,Espresso,Decaf Espresso,Decaf
2/26/2011,9,141,40,West,CA,Coffee,Amaretto,Regular
2/11/2011,10,687,364,West,CA,Coffee,Columbian,Regular
2/5/2011,11,130,174,West,CA,Coffee,Decaf Irish Cream,Decaf
2/28/2011,12,487,211,West,CA,Espresso,Caffe Latte,Regular
2/19/2011,13,309,39,West,CA,Espresso,Caffe Mocha,Regular
2/29/2011,14,309,39,West,NV,Herbal Tea,Chamomile,Decaf
2/6/2011,15,377,171,West,NV,Herbal Tea,Lemon,Decaf
2/25/2011,16,271,140,West,NV,Herbal Tea,Mint,Decaf
2/15/2011,17,581,300,West,NV,Tea,Darjeeling,Regular
2/18/2011,18,487,211,West,NV,Tea,Earl Grey,Regular
2/2/2011,19,25,508,West,NV,Tea,Green Tea,Regular
2/17/2011,20,50,16,West,NV,Espresso,Decaf Espresso,Decaf
2/19/2011,21,79,7,West,NV,Coffee,Columbian,Regular
2/15/2011,22,67,9,West,NV,Coffee,Decaf Irish Cream,Decaf
2/2/2011,23,46,46,West,NV,Espresso,Caffe Latte,Regular
2/15/2011,8,48,15,West,NV,Espresso,Caffe Mocha,Regular
2/2/2011,9,86,42,West,OR,Herbal Tea,Chamomile,Decaf
2/25/2011,10,107,45,West,OR,Herbal Tea,Lemon,Decaf
2/18/2011,11,60,25,West,OR,Tea,Darjeeling,Regular
2/21/2011,12,213,92,West,OR,Tea,Earl Grey,Regular
2/19/2011,13,220,105,West,OR,Tea,Green Tea,Regular
2/19/2011,14,362,147,West,OR,Espresso,Decaf Espresso,Decaf
2/28/2011,15,137,6,West,OR,Coffee,Amaretto,Regular
2/6/2011,16,165,37,West,OR,Coffee,Columbian,Regular
2/14/2011,17,136,56,West,OR,Coffee,Decaf Irish Cream,Decaf
2/25/2011,18,141,27,West,OR,Espresso,Caffe Latte,Regular
2/15/2011,19,149,49,West,OR,Espresso,Caffe Mocha,Regular
2/23/2011,20,346,180,West,WA,Herbal Tea,Chamomile,Decaf
2/6/2011,21,100,50,West,WA,Herbal Tea,Lemon,Decaf
2/21/2011,0,185,98,West,WA,Tea,Darjeeling,Regular
2/27/2011,1,146,61,West,WA,Tea,Earl Grey,Regular
2/5/2011,2,165,4,West,WA,Tea,Green Tea,Regular
2/13/2011,3,117,52,West,WA,Espresso,Caffe Latte,Regular
2/2/2011,4,126,18,West,WA,Espresso,Caffe Mocha,Regular
2/7/2011,5,164,61,West,WA,Espresso,Decaf Espresso,Decaf
2/20/2011,6,151,65,West,WA,Coffee,Columbian,Regular
2/26/2011,7,234,22,West,WA,Coffee,Decaf Irish Cream,Decaf
3/11/2011,8,346,140,Central,CO,Herbal Tea,Chamomile,Decaf
3/1/2011,9,133,6,Central,CO,Herbal Tea,Lemon,Decaf
3/29/2011,10,143,46,Central,CO,Herbal Tea,Mint,Decaf
3/15/2011,11,137,24,Central,CO,Tea,Darjeeling,Regular
3/29/2011,12,144,47,Central,CO,Tea,Earl Grey,Regular
3/11/2011,13,104,43,Central,CO,Tea,Green Tea,Regular
3/22/2011,14,211,125,Central,CO,Espresso,Caffe Mocha,Regular
3/1/2011,15,192,80,Central,CO,Espresso,Decaf Espresso,Decaf
3/16/2011,16,227,134,Central,CO,Coffee,Amaretto,Regular
3/11/2011,17,206,102,Central,CO,Coffee,Columbian,Regular
3/11/2011,0,249,150,Central,CO,Coffee,Decaf Irish Cream,Decaf
3/30/2011,1,227,135,Central,IL,Herbal Tea,Chamomile,Decaf
3/24/2011,2,206,104,Central,IL,Herbal Tea,Lemon,Decaf
3/11/2011,3,249,151,Central,IL,Herbal Tea,Mint,Decaf
3/20/2011,4,211,125,Central,IL,Tea,Darjeeling,Regular
3/13/2011,5,192,79,Central,IL,Tea,Earl Grey,Regular
3/18/2011,6,604,313,Central,IL,Espresso,Caffe Mocha,Regular
3/30/2011,7,509,220,Central,IL,Espresso,Decaf Espresso,Decaf
3/20/2011,8,391,177,Central,IL,Coffee,Columbian,Regular
3/5/2011,9,285,151,Central,IL,Coffee,Decaf Irish Cream,Decaf
3/26/2011,10,604,315,Central,IA,Herbal Tea,Chamomile,Decaf
3/23/2011,11,285,151,Central,IA,Herbal Tea,Lemon,Decaf
3/4/2011,12,509,220,Central,IA,Tea,Darjeeling,Regular
3/6/2011,13,582,260,Central,IA,Tea,Earl Grey,Regular
3/10/2011,14,44,13,Central,IA,Espresso,Caffe Mocha,Regular
3/14/2011,15,46,47,Central,IA,Espresso,Decaf Espresso,Decaf
3/17/2011,16,48,15,Central,IA,Coffee,Amaretto,Regular
3/9/2011,17,67,9,Central,IA,Coffee,Columbian,Regular
3/26/2011,18,58,18,Central,IA,Coffee,Decaf Irish Cream,Decaf
3/25/2011,19,114,9,Central,MO,Herbal Tea,Chamomile,Decaf
3/9/2011,20,113,47,Central,MO,Herbal Tea,Lemon,Decaf
3/20/2011,21,91,16,Central,MO,Tea,Darjeeling,Regular
3/4/2011,22,80,4,Central,MO,Tea,Earl Grey,Regular
3/21/2011,23,80,6,Central,MO,Tea,Green Tea,Regular
3/11/2011,16,129,70,Central,MO,Espresso,Caffe Mocha,Regular
3/21/2011,17,126,67,Central,MO,Espresso,Decaf Espresso,Decaf
3/10/2011,18,201,58,Central,MO,Coffee,Columbian,Regular
3/22/2011,19,174,67,Central,MO,Coffee,Decaf Irish Cream,Decaf
3/13/2011,20,56,22,Central,OH,Herbal Tea,Chamomile,Decaf
3/13/2011,21,84,42,Central,OH,Herbal Tea,Lemon,Decaf
3/7/2011,22,224,101,Central,OH,Tea,Darjeeling,Regular
3/23/2011,23,228,110,Central,OH,Tea,Earl Grey,Regular
3/26/2011,0,346,140,Central,OH,Espresso,Caffe Mocha,Regular
3/29/2011,1,137,22,Central,OH,Espresso,Decaf Espresso,Decaf
3/16/2011,2,143,47,Central,OH,Coffee,Amaretto,Regular
3/6/2011,3,129,52,Central,OH,Coffee,Columbian,Regular
3/19/2011,4,133,6,Central,OH,Coffee,Decaf Irish Cream,Decaf
3/7/2011,5,178,93,Central,WI,Herbal Tea,Chamomile,Decaf
3/13/2011,6,129,70,Central,WI,Herbal Tea,Lemon,Decaf
3/27/2011,7,137,56,Central,WI,Tea,Darjeeling,Regular
3/14/2011,8,160,1,Central,WI,Tea,Earl Grey,Regular
3/29/2011,9,165,61,Central,WI,Espresso,Caffe Mocha,Regular
3/12/2011,10,119,50,Central,WI,Espresso,Decaf Espresso,Decaf
3/22/2011,11,128,19,Central,WI,Coffee,Amaretto,Regular
3/19/2011,12,242,25,Central,WI,Coffee,Columbian,Regular
3/4/2011,13,200,82,Central,WI,Coffee,Decaf Irish Cream,Decaf
3/13/2011,14,201,58,East,CT,Herbal Tea,Lemon,Decaf
3/29/2011,15,174,68,East,CT,Herbal Tea,Mint,Decaf
